sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
DNA_1	99970	88187	88.21	87666	80636	80.66	78976	79
DNA_10	113810	100478	88.29	99960	94216	82.78	92816	81.55
DNA_11	141509	125782	88.89	125131	116836	82.56	116146	82.08
DNA_12	155668	136810	87.89	136267	130951	84.12	125507	80.62
DNA_13	127031	111065	87.43	110591	102934	81.03	99393	78.24
DNA_14	127762	111905	87.59	111350	105106	82.27	97579	76.38
DNA_15	130978	115776	88.39	115418	107402	82	104864	80.06
DNA_16	135720	118587	87.38	118236	111359	82.05	110207	81.2
DNA_17	121462	107303	88.34	106930	99502	81.92	98627	81.2
DNA_2	62726	51600	82.26	51104	47996	76.52	40181	64.06
DNA_3	103424	85356	82.53	84664	79369	76.74	74775	72.3
DNA_4	134296	116066	86.43	115794	110815	82.52	108484	80.78
DNA_5	129042	112375	87.08	111931	107440	83.26	105902	82.07
DNA_6	144043	127134	88.26	126625	120015	83.32	118780	82.46
DNA_7	110684	97128	87.75	96356	92790	83.83	91936	83.06
DNA_8	121646	108231	88.97	107861	100665	82.75	99073	81.44
DNA_9	161101	140996	87.52	140683	132500	82.25	131371	81.55
