SampleID,Shannon,Simpson,Observed_ASVs,FileID,Type,Region
DNA_1,3.53738058650802,0.9042484953448509,472,DNA_1,Symptomatic,North
DNA_10,3.74119359263581,0.9564107841871328,323,DNA_10,Asymptomatic,North
DNA_11,3.3484003893254086,0.9231133428779741,278,DNA_11,Symptomatic,South
DNA_12,3.109937002578124,0.9117991004779166,188,DNA_12,Asymptomatic,South
DNA_13,3.0510154774045035,0.8986417326698357,171,DNA_13,Symptomatic,East
DNA_14,3.7137721738159555,0.9631328542241718,204,DNA_14,Asymptomatic,East
DNA_15,2.746532407223765,0.8710054130140192,178,DNA_15,Symptomatic,West
DNA_16,3.1112768586019746,0.9265719272522663,271,DNA_16,Asymptomatic,West
DNA_17,3.0071118014539544,0.8834899345531461,255,DNA_17,Symptomatic,Central
DNA_2,5.603553359998019,0.990812712442847,633,DNA_2,Asymptomatic,North
DNA_3,3.845023860231928,0.9252228347138819,526,DNA_3,Symptomatic,South
DNA_4,2.355121254329327,0.7927949815218269,152,DNA_4,Asymptomatic,South
DNA_5,3.6085732520604896,0.9100707340023408,359,DNA_5,Symptomatic,East
DNA_6,3.0742448544497774,0.8517687305362842,251,DNA_6,Asymptomatic,East
DNA_7,3.185431282112972,0.9240096286204154,152,DNA_7,Symptomatic,West
DNA_8,3.4233407463742527,0.930799160361943,366,DNA_8,Asymptomatic,West
DNA_9,3.5029854819114066,0.9205957687989622,263,DNA_9,Symptomatic,North
